"","ID","Traffic Volume Count Location  Address","Street","Date of Count","Total Passing Vehicle Volume","Vehicle Volume By Each Direction of Traffic","Location","geometry"
"648",320,"1621 East","57th St","03/28/2006",39500,"East Bound: 19300 / West Bound: 20200","(41.791544, -87.586175)",c(-87.586175, 41.791544)
"649",1029,"750 South","Kostner Ave","09/05/2006",17500,"North Bound: 8900 / South Bound: 8600","(41.870966, -87.735136)",c(-87.735136, 41.870966)
"650",73,"4563 South","Michigan Ave","03/02/2006",7900,"South Bound: 7900/ Oneway South Bound","(41.811191, -87.622886)",c(-87.622886, 41.811191)
"651",139,"9933 South","Western Ave","03/23/2006",35700,"North Bound: 17600 / South Bound: 18100","(41.712676, -87.68181)",c(-87.68181, 41.712676)
"652",1213,"233 West","Lake St","11/07/2006",13200,"East Bound: 13200 / / Oneway East Bound","(41.885733, -87.63502)",c(-87.63502, 41.885733)
"653",310,"268 East","Pershing Rd","04/25/2006",7200,"East Bound: 3400 / West Bound: 3800","(41.823805, -87.619176)",c(-87.619176, 41.823805)
"654",228,"5710 South","Loomis St","03/23/2006",3500,"North Bound: 1700 / South Bound: 1800","(41.790122, -87.65963)",c(-87.65963, 41.790122)
"655",1357,"200 East","Jackson Dr","09/28/2006",7900,"East Bound: 4000 / West Bound: 3900","(41.87831, -87.622407)",c(-87.622407, 41.87831)
"656",1326,"350 North","Michigan Ave","11/07/2006",44000,"North Bound: 21300 / South Bound: 22700","(41.887944, -87.624537)",c(-87.624537, 41.887944)
"657",585,"9450 South","Jeffery Ave","09/06/2006",19400,"North Bound: 9300 / South Bound: 10100","(41.722735, -87.575361)",c(-87.575361, 41.722735)
"658",287,"2358 South","Blue Island Ave","03/30/2006",13400,"North Bound: 6700 / South Bound: 6700","(41.849394, -87.673525)",c(-87.673525, 41.849394)
"659",33,"6755 South","Damen Ave","03/02/2006",16600,"North Bound: 7900 / South Bound: 8700","(41.770409, -87.673671)",c(-87.673671, 41.770409)
"660",448,"1450 West","Foster Ave","08/20/2006",24100,"East Bound: 11200 / West Bound: 12900","(41.976215, -87.666782)",c(-87.666782, 41.976215)
"661",687,"6071 North","Western Ave","08/22/2006",34600,"North Bound: 15900 / South Bound: 18700","(41.992273, -87.689704)",c(-87.689704, 41.992273)
"662",87,"8149 South","State St","05/02/2006",7500,"North Bound: 7500 / / Oneway North Bound","(41.745812, -87.624391)",c(-87.624391, 41.745812)
"663",424,"618 West","Addison St","08/15/2006",11600,"East Bound: 6100 / West Bound: 5500","(41.9477, -87.646232)",c(-87.646232, 41.9477)
"664",1228,"1920 West","83rd St","10/04/2006",13900,"East Bound: 7400 / West Bound: 6500","(41.742964, -87.671446)",c(-87.671446, 41.742964)
"665",16,"5325 South","Cottage Grove Ave","02/01/2006",13700,"North Bound: 7200 / South Bound: 6500","(41.797881, -87.606302)",c(-87.606302, 41.797881)
"666",482,"4307 West","Grand Ave","11/13/2006",11900,"East Bound: 6600 / West Bound: 5300","(41.909224, -87.734147)",c(-87.734147, 41.909224)
"667",1006,"643 North","Central Ave","10/18/2006",24800,"North Bound: 10400 / South Bound: 14400","(41.892407, -87.765299)",c(-87.765299, 41.892407)
"668",68,"1255 South","Michigan Ave","03/02/2006",20600,"North Bound: 11200 / South Bound: 9400","(41.865924, -87.624115)",c(-87.624115, 41.865924)
"669",615,"2157 South","Damen Ave","08/17/2006",24700,"North Bound: 12800 / South Bound: 11900","(41.852275, -87.675844)",c(-87.675844, 41.852275)
"670",342,"651 South","Jefferson St","04/26/2006",6400,"North Bound: 6400 / / Oneway North Bound","(41.873569, -87.642397)",c(-87.642397, 41.873569)
"671",1372,"2134 South","Ashland Ave","08/24/2006",44700,"North Bound: 22400 / South Bound: 22300","(41.853135, -87.666031)",c(-87.666031, 41.853135)
"672",656,"3628 North","Milwaukee Ave","08/23/2006",14400,"North Bound: 6500 / South Bound: 7900","(41.946769, -87.736449)",c(-87.736449, 41.946769)
"673",849,"7121 West","Addison Ave","08/14/2006",20700,"East Bound: 10400 / West Bound: 10300","(41.945317, -87.804172)",c(-87.804172, 41.945317)
"674",166,"120 East","63rd St","03/28/2006",12400,"East Bound: 7800 / West Bound: 4600","(41.780078, -87.621062)",c(-87.621062, 41.780078)
"675",768,"2300 North","Racine Ave","10/26/2006",13000,"North Bound: 7500 / South Bound: 5500","(41.92351, -87.658394)",c(-87.658394, 41.92351)
"676",537,"230 South","La Salle St","09/21/2006",7700,"North Bound: 3600 / South Bound: 4100","(41.878543, -87.632267)",c(-87.632267, 41.878543)
"677",1141,"35 South","Racine Ave","11/14/2006",11300,"North Bound: 6200 / South Bound: 5100","(41.880487, -87.657103)",c(-87.657103, 41.880487)
"678",1196,"4116 West","87th St","10/03/2006",21500,"East Bound: 11400 / West Bound: 10100","(41.7348, -87.724651)",c(-87.724651, 41.7348)
"679",1339,"390 West","Monroe St","09/20/2006",16000,"East Bound: 16000 / / Oneway East Bound","(41.880605, -87.638285)",c(-87.638285, 41.880605)
"680",63,"8547 South","Jeffery Blvd","03/29/2006",12400,"North Bound: 5700 / South Bound: 6700","(41.739269, -87.575753)",c(-87.575753, 41.739269)
"681",504,"10 East","Washington St","09/26/2006",12700,"East Bound: 12700 / / Oneway East Bound","(41.883218, -87.627549)",c(-87.627549, 41.883218)
"682",1181,"2455 South","Pulaski Rd","09/14/2006",21500,"North Bound: 11600 / South Bound: 9900","(41.846235, -87.72462)",c(-87.72462, 41.846235)
"683",367,"9915 South","Van Vlissingen Rd","05/04/2006",6800,"North Bound: 3400 / South Bound: 3400","(41.714883, -87.573706)",c(-87.573706, 41.714883)
"684",1178,"2004 South","Kostner Ave","09/12/2006",19200,"North Bound: 10000 / South Bound: 9200","(41.854103, -87.734588)",c(-87.734588, 41.854103)
"685",261,"506 West","43rd St","04/25/2006",6800,"East Bound: 2700 / West Bound: 4100","(41.816301, -87.638721)",c(-87.638721, 41.816301)
"686",989,"1640 North","Milwaukee Ave","10/23/2006",12800,"North Bound: 6800 / South Bound: 6000","(41.911246, -87.678799)",c(-87.678799, 41.911246)
"687",866,"5320 North","Cumberland Ave","08/17/2006",40600,"North Bound: 19700 / South Bound: 20900","(41.976269, -87.836617)",c(-87.836617, 41.976269)
"688",204,"3100 East","87th Street","03/28/2006",8800,"East Bound: 4300 / West Bound: 4500","(41.737414, -87.548768)",c(-87.548768, 41.737414)
"689",1359,"120 East","Randolph St","09/19/2006",19900,"East Bound: 10300 / West Bound: 9600","(41.884434, -87.623595)",c(-87.623595, 41.884434)
"690",757,"7150 South","Cottage Grove Ave","12/19/2006",21400,"North Bound: 9500 / South Bound: 11900","(41.764407, -87.605533)",c(-87.605533, 41.764407)
"691",1018,"652 North","Western Ave","10/05/2006",32400,"North Bound: 16800 / South Bound: 15600","(41.893685, -87.68678)",c(-87.68678, 41.893685)
"692",1323,"4855 South","Western Ave","10/31/2006",35100,"North Bound: 17000 / South Bound: 18100","(41.804938, -87.684364)",c(-87.684364, 41.804938)
"693",382,"10344 South","Torrence Ave","11/14/2006",21600,"North Bound: 11200 / South Bound: 10400","(41.706839, -87.55965)",c(-87.55965, 41.706839)
"694",580,"3743 West","Belmont Ave","10/16/2006",26200,"East Bound: 14100 / West Bound: 12100","(41.939165, -87.721399)",c(-87.721399, 41.939165)
"695",104,"6480 South","Ashland Ave","03/21/2006",27100,"North Bound: 14000 / South Bound: 13100","(41.775834, -87.66412)",c(-87.66412, 41.775834)
"696",182,"1055 West","79th Street","03/28/2006",17600,"East Bound: 9500 / West Bound: 8100","(41.750534, -87.651099)",c(-87.651099, 41.750534)
"697",721,"6135 West","Grand Ave","10/23/2006",22800,"East Bound: 9700 / West Bound: 13100","(41.921271, -87.779472)",c(-87.779472, 41.921271)
"698",824,"1625 West","Irving Park Rd","08/29/2006",33000,"East Bound: 16900 / West Bound: 16100","(41.954273, -87.670146)",c(-87.670146, 41.954273)
"699",1052,"1020 West","Adams St","09/19/2006",5100,"West Bound: 5100/ Oneway West Bound","(41.879125, -87.652799)",c(-87.652799, 41.879125)
"700",649,"3250 North","Harlem Ave","10/25/2006",28900,"North Bound: 15200 / South Bound: 13700","(41.939539, -87.8068)",c(-87.8068, 41.939539)
"701",1291,"11356 South","Wentworth Ave","08/29/2006",5300,"North Bound: 2600 / South Bound: 2700","(41.687214, -87.627744)",c(-87.627744, 41.687214)
"702",210,"202 West","95th Street","03/28/2006",33900,"East Bound: 17200 / West Bound: 16700","(41.721659, -87.628777)",c(-87.628777, 41.721659)
"703",1306,"2209 West","103rd St","08/22/2006",19000,"East Bound: 9300 / West Bound: 9700","(41.706445, -87.677175)",c(-87.677175, 41.706445)
"704",969,"6137 North","Clark St","08/24/2006",32100,"North Bound: 15500 / South Bound: 16600","(41.993674, -87.670135)",c(-87.670135, 41.993674)
"705",440,"3433 West","Madison St","10/12/2006",15600,"East Bound: 7800 / West Bound: 7800","(41.880898, -87.712441)",c(-87.712441, 41.880898)
"706",195,"3045 East","83rd St","03/28/2006",7300,"East Bound: 3800 / West Bound: 3500","(41.744682, -87.549764)",c(-87.549764, 41.744682)
"707",896,"2426 North","Laramie Ave","10/23/2006",15900,"North Bound: 8000 / South Bound: 7900","(41.924963, -87.756176)",c(-87.756176, 41.924963)
"708",133,"4028 South","Western Ave","03/14/2006",25600,"North Bound: 12900 / South Bound: 12700","(41.820278, -87.684745)",c(-87.684745, 41.820278)
"709",730,"1300 West","Washington St","11/14/2006",5900,"East Bound: 5900 / / Oneway East Bound","(41.882936, -87.659747)",c(-87.659747, 41.882936)
"710",243,"2263 West","18th Street","03/30/2006",6700,"East Bound: 3200 / West Bound: 3500","(41.857573, -87.683337)",c(-87.683337, 41.857573)
"711",303,"205 East","Marquette Rd","04/27/2006",16800,"East Bound: 7500 / West Bound: 9300","(41.772885, -87.620079)",c(-87.620079, 41.772885)
"712",846,"2249 West","Montrose Ave","11/14/2006",16400,"East Bound: 8000 / West Bound: 8400","(41.961351, -87.68578)",c(-87.68578, 41.961351)
"713",1206,"3865 West","Columbus Ave","08/22/2006",16900,"North Bound: 8300 / South Bound: 8600","(41.738019, -87.718381)",c(-87.718381, 41.738019)
"714",1088,"2630 West","Division St","10/18/2006",19500,"East Bound: 8900 / West Bound: 10600","(41.902958, -87.693225)",c(-87.693225, 41.902958)
"715",454,"711 East","111th St","08/29/2006",16500,"East Bound: 7500 / West Bound: 9000","(41.692822, -87.605505)",c(-87.605505, 41.692822)
"716",97,"3247 South","Archer Ave","03/08/2006",15100,"North Bound: 8200 / South Bound: 6900","(41.835106, -87.669954)",c(-87.669954, 41.835106)
"717",1128,"646 North","Michigan Ave","10/25/2006",42200,"North Bound: 21200 / South Bound: 21000","(41.893982, -87.624231)",c(-87.624231, 41.893982)
"718",793,"1526 North","Western Ave","10/02/2006",39400,"North Bound: 19600 / South Bound: 19800","(41.909315, -87.687195)",c(-87.687195, 41.909315)
"719",409,"1125 North","Cicero Ave","10/16/2006",37800,"North Bound: 18700 / South Bound: 19100","(41.90128, -87.745946)",c(-87.745946, 41.90128)
"720",1063,"303 East","Cermak Rd","10/17/2006",25700,"East Bound: 10900 / West Bound: 14800","(41.852872, -87.620534)",c(-87.620534, 41.852872)
"721",1070,"16 South","Clark St","09/27/2006",15500,"South Bound: 15500/ Oneway South Bound","(41.881592, -87.630875)",c(-87.630875, 41.881592)
"722",255,"1301 West","35th St","04/25/2006",17000,"East Bound: 9100 / West Bound: 7900","(41.830598, -87.657426)",c(-87.657426, 41.830598)
"723",394,"13027 South","Baltimore Ave","11/08/2006",4400,"North Bound: 1800 / South Bound: 2600","(41.658336, -87.547134)",c(-87.547134, 41.658336)
"724",488,"3816 West","Bryn Mawr Ave","09/19/2006",14500,"East Bound: 7200 / West Bound: 7300","(41.982866, -87.724368)",c(-87.724368, 41.982866)
"725",92,"9532 South","Wentworth Ave","03/08/2006",4900,"North Bound: 2800 / South Bound: 2100","(41.720659, -87.628638)",c(-87.628638, 41.720659)
"726",610,"3001 South","Kedzie Ave","08/10/2006",25400,"North Bound: 12500 / South Bound: 12900","(41.839026, -87.704872)",c(-87.704872, 41.839026)
"727",11,"8933 South","Commercial Ave","03/07/2006",10500,"North Bound: 4900 / South Bound: 5600","(41.732725, -87.55132)",c(-87.55132, 41.732725)
"728",1233,"8212 South","Ashland Ave","10/04/2006",34300,"North Bound: 18200 / South Bound: 16100","(41.7445, -87.663291)",c(-87.663291, 41.7445)
"729",271,"715 West","51st St","04/27/2006",8500,"East Bound: 4000 / West Bound: 4500","(41.801616, -87.6436)",c(-87.6436, 41.801616)
"730",794,"1136 North","Milwaukee Ave","10/30/2006",14100,"North Bound: 6600 / South Bound: 7500","(41.90238, -87.66496)",c(-87.66496, 41.90238)
"731",348,"8349 South","Bond Ave","03/28/2006",11100,"North Bound: 5400 / South Bound: 5700","(41.743319, -87.547879)",c(-87.547879, 41.743319)
"732",548,"3100 West","59th St","10/26/2006",21300,"East Bound: 10300 / West Bound: 11000","(41.786284, -87.700958)",c(-87.700958, 41.786284)
"733",948,"3741 West","North Ave","10/18/2006",37300,"East Bound: 18400 / West Bound: 18900","(41.909944, -87.720823)",c(-87.720823, 41.909944)
"734",48,"1933 South","Indiana Ave","03/02/2006",6100,"North Bound: 3800 / South Bound: 2300","(41.85566, -87.62228)",c(-87.62228, 41.85566)
"735",696,"220 South","Wabash Ave","09/19/2006",10900,"South Bound: 10900/ Oneway South Bound","(41.879007, -87.626108)",c(-87.626108, 41.879007)
"736",1123,"3060 South","Michigan Ave","10/18/2006",18900,"North Bound: 8000 / South Bound: 10900","(41.838343, -87.623444)",c(-87.623444, 41.838343)
"737",470,"738 West","107th St","08/29/2006",10900,"East Bound: 5100 / West Bound: 5800","(41.699648, -87.641695)",c(-87.641695, 41.699648)
"738",116,"3541 South","Halsted St","03/21/2006",15300,"North Bound: 7900 / South Bound: 7400","(41.829513, -87.646078)",c(-87.646078, 41.829513)
"739",661,"3220 North","Damen Ave","08/16/2006",17000,"North Bound: 8900 / South Bound: 8100","(41.940256, -87.678374)",c(-87.678374, 41.940256)
"740",332,"650 East","Rainey Dr","03/28/2006",16300,"East Bound: 9200 / West Bound: 7100","(41.793645, -87.609034)",c(-87.609034, 41.793645)
"741",1211,"7153 South","Kedzie Ave","11/09/2006",30200,"North Bound: 15100 / South Bound: 15100","(41.762976, -87.702744)",c(-87.702744, 41.762976)
"742",300,"2509 West","Marquette Rd","03/28/2006",14900,"East Bound: 7300 / West Bound: 7600","(41.771932, -87.686307)",c(-87.686307, 41.771932)
"743",232,"8210 South","Loomis St","03/23/2006",5500,"North Bound: 2500 / South Bound: 3000","(41.744631, -87.658435)",c(-87.658435, 41.744631)
"744",644,"2830 North","Kostner Ave","09/06/2006",7600,"North Bound: 4000 / South Bound: 3600","(41.932608, -87.736835)",c(-87.736835, 41.932608)
"745",931,"2671 West","Foster Ave","08/15/2006",23700,"East Bound: 11200 / West Bound: 12500","(41.975838, -87.696482)",c(-87.696482, 41.975838)
"746",1267,"1170 East","Midway Plaissance","10/26/2006",14400,"East Bound: 7900 / West Bound: 6500","(41.78652, -87.596845)",c(-87.596845, 41.78652)
"747",958,"935 West","Armitage Ave","10/11/2006",13100,"East Bound: 7100 / West Bound: 6000","(41.91812, -87.652282)",c(-87.652282, 41.91812)
"748",516,"1925 West","Division St","09/21/2006",26800,"East Bound: 14200 / West Bound: 12600","(41.903211, -87.67591)",c(-87.67591, 41.903211)
"749",873,"5980 North","East River Rd","08/16/2006",19300,"North Bound: 9200 / South Bound: 10100","(41.987853, -87.846528)",c(-87.846528, 41.987853)
"750",420,"3541 East","106th St","10/18/2006",16500,"East Bound: 9900 / West Bound: 6600","(41.702743, -87.537314)",c(-87.537314, 41.702743)
"751",533,"513 South","Damen Ave","08/16/2006",33600,"North Bound: 16200 / South Bound: 17400","(41.874597, -87.676475)",c(-87.676475, 41.874597)
"752",1167,"3750 West","31st St","09/14/2006",18800,"East Bound: 9000 / West Bound: 9800","(41.836974, -87.719101)",c(-87.719101, 41.836974)
"753",676,"4421 North","Sheridan Rd","08/29/2006",7500,"North Bound: 3400 / South Bound: 4100","(41.962457, -87.654755)",c(-87.654755, 41.962457)
"754",817,"6431 West","63rd St","10/11/2006",18200,"East Bound: 9100 / West Bound: 9100","(41.777656, -87.782528)",c(-87.782528, 41.777656)
"755",377,"5224 South","Woodlawn Ave","05/02/2006",7200,"North Bound: 3500 / South Bound: 3700","(41.800125, -87.596657)",c(-87.596657, 41.800125)
"756",926,"7420 North","California Ave","08/22/2006",10400,"North Bound: 5100 / South Bound: 5300","(42.016379, -87.699636)",c(-87.699636, 42.016379)
"757",399,"133 South","Ashland Ave","08/31/2006",31700,"North Bound: 16800 / South Bound: 14900","(41.879119, -87.666752)",c(-87.666752, 41.879119)
"758",595,"6750 South","Kedzie Ave","10/11/2006",26000,"North Bound: 13800 / South Bound: 12200","(41.770238, -87.702937)",c(-87.702937, 41.770238)
"759",575,"135 South","Pulaski Rd","10/04/2006",24200,"North Bound: 12100 / South Bound: 12100","(41.878768, -87.725604)",c(-87.725604, 41.878768)
"760",878,"6747 West","Foster Ave","08/22/2006",14300,"East Bound: 7400 / West Bound: 6900","(41.975575, -87.797008)",c(-87.797008, 41.975575)
"761",121,"8728 South","Halsted St","03/21/2006",30900,"North Bound: 16500 / South Bound: 14400","(41.735001, -87.643587)",c(-87.643587, 41.735001)
"762",654,"3255 North","Cicero Ave","10/11/2006",40600,"North Bound: 20900 / South Bound: 19700","(41.940497, -87.746913)",c(-87.746913, 41.940497)
"763",354,"9592 South","Colfax Ave","10/18/2006",13100,"North Bound: 6800 / South Bound: 6300","(41.720957, -87.560671)",c(-87.560671, 41.720957)
"764",639,"2855 North","Ashland Ave","08/29/2006",37400,"North Bound: 19300 / South Bound: 18100","(41.934063, -87.668456)",c(-87.668456, 41.934063)
"765",162,"7206 South","Yates Blvd","03/28/2006",12500,"North Bound: 6300 / South Bound: 6200","(41.764222, -87.566483)",c(-87.566483, 41.764222)
"766",861,"2459 North","Central Ave","10/26/2006",25000,"North Bound: 11600 / South Bound: 13400","(41.925775, -87.766054)",c(-87.766054, 41.925775)
"767",237,"5235 South","Racine Ave","03/23/2006",7700,"North Bound: 3900 / South Bound: 3800","(41.798563, -87.654979)",c(-87.654979, 41.798563)
"768",1254,"1669 East","51st St","09/20/2006",4400,"East Bound: 1000 / West Bound: 3400","(41.802583, -87.583711)",c(-87.583711, 41.802583)
"769",781,"7127 North","Leigh Ave","11/14/2006",8600,"North Bound: 4000 / South Bound: 4600","(42.010697, -87.772707)",c(-87.772707, 42.010697)
"770",666,"3654 North","Halsted St","10/18/2006",16100,"North Bound: 7800 / South Bound: 8300","(41.948965, -87.649538)",c(-87.649538, 41.948965)
"771",109,"719 South","Clark St","03/15/2006",13600,"North Bound: 6500 / South Bound: 7100","(41.873009, -87.630632)",c(-87.630632, 41.873009)
"772",522,"6445 West","Grand Ave","10/23/2006",14800,"East Bound: 7500 / West Bound: 7300","(41.923102, -87.7871)",c(-87.7871, 41.923102)
"773",916,"3308 West","Armitage Ave","08/09/2006",18200,"East Bound: 10200 / West Bound: 8000","(41.917357, -87.710662)",c(-87.710662, 41.917357)
"774",751,"11233 South","Avenue O","10/18/2006",16000,"North Bound: 8100 / South Bound: 7900","(41.690863, -87.540104)",c(-87.540104, 41.690863)
"775",559,"4631 West","Harrison St","10/18/2006",11500,"East Bound: 7600 / West Bound: 3900","(41.873224, -87.741379)",c(-87.741379, 41.873224)
"776",82,"3333 South","State St","03/07/2006",10100,"North Bound: 6700 / South Bound: 3400","(41.833661, -87.626468)",c(-87.626468, 41.833661)
"777",266,"20 West","47th St","04/25/2006",15300,"East Bound: 6200 / West Bound: 9100","(41.809221, -87.626946)",c(-87.626946, 41.809221)
"778",279,"1340 East","55th St","04/27/2006",15700,"East Bound: 6500 / West Bound: 9200","(41.795109, -87.59326)",c(-87.59326, 41.795109)
"779",1109,"3434 West","Jackson Blvd","10/18/2006",10200,"East Bound: 4300 / West Bound: 5900","(41.877258, -87.712307)",c(-87.712307, 41.877258)
"780",963,"2237 West","Belmont Ave","10/16/2006",18700,"East Bound: 9200 / West Bound: 9500","(41.939496, -87.684693)",c(-87.684693, 41.939496)
"781",1238,"8514 South","Loomis St","10/31/2006",6000,"North Bound: 2300 / South Bound: 3700","(41.739048, -87.658288)",c(-87.658288, 41.739048)
"782",1036,"4640 West","Madison St","10/12/2006",24700,"East Bound: 11200 / West Bound: 13500","(41.880537, -87.741833)",c(-87.741833, 41.880537)
"783",671,"4059 North","Pulaski Rd","09/18/2006",21100,"North Bound: 11600 / South Bound: 9500","(41.955447, -87.727666)",c(-87.727666, 41.955447)
"784",985,"2315 West","Lawrence Ave","08/23/2006",26700,"East Bound: 14500 / West Bound: 12200","(41.968642, -87.687081)",c(-87.687081, 41.968642)
"785",830,"6080 North","Caldwell Ave","08/09/2006",27100,"North Bound: 13500 / South Bound: 13600","(41.991514, -87.754317)",c(-87.754317, 41.991514)
"786",1013,"1350 North","Wells St","09/19/2006",17700,"North Bound: 5200 / South Bound: 12500","(41.90718, -87.634588)",c(-87.634588, 41.90718)
"787",1100,"332 South","Halsted St","10/02/2006",20400,"North Bound: 10200 / South Bound: 10200","(41.876932, -87.647211)",c(-87.647211, 41.876932)
"788",717,"1665 North","Sedgwick St","10/04/2006",5700,"North Bound: 3500 / South Bound: 2200","(41.912849, -87.638637)",c(-87.638637, 41.912849)
"789",177,"448 East","76th St","03/28/2006",9300,"East Bound: 4300 / West Bound: 5000","(41.756617, -87.613108)",c(-87.613108, 41.756617)
"790",222,"1848 West","Garfield Blvd","03/15/2006",33200,"East Bound: 16000 / West Bound: 17200","(41.793942, -87.671875)",c(-87.671875, 41.793942)
"791",1273,"2233 West","87th St","10/11/2006",37400,"East Bound: 17400 / West Bound: 20000","(41.735581, -87.679036)",c(-87.679036, 41.735581)
"792",127,"10122 South","Vincennes Ave","03/21/2006",13700,"North Bound: 6400 / South Bound: 7300","(41.710702, -87.654574)",c(-87.654574, 41.710702)
"793",362,"5510 South","Payne Dr","05/04/2006",17200,"North Bound: 9100 / South Bound: 8100","(41.794542, -87.607689)",c(-87.607689, 41.794542)
"794",500,"2344 West","Adams St","10/05/2006",3400,"East Bound: 1700 / West Bound: 1700","(41.878596, -87.685749)",c(-87.685749, 41.878596)
"795",711,"1240 North","Homan Ave","09/27/2006",8900,"North Bound: 4300 / South Bound: 4600","(41.903995, -87.711714)",c(-87.711714, 41.903995)
"796",1002,"901 South","Ashland Ave","08/31/2006",42500,"North Bound: 22300 / South Bound: 20200","(41.870413, -87.666487)",c(-87.666487, 41.870413)
"797",1144,"615 West","Randolph St","09/19/2006",18200,"West Bound: 18200/ Oneway West Bound","(41.884431, -87.643422)",c(-87.643422, 41.884431)
"798",1201,"6203 South","California Ave","08/17/2006",15900,"North Bound: 7500 / South Bound: 8400","(41.780847, -87.69344)",c(-87.69344, 41.780847)
"799",982,"2665 North","Lakeview Ave","10/06/2006",6800,"North Bound: 3100 / South Bound: 3700","(41.93136, -87.639326)",c(-87.639326, 41.93136)
"800",735,"635 North","Dearborn St","09/20/2006",16400,"North Bound: 16400 / / Oneway North Bound","(41.893431, -87.629699)",c(-87.629699, 41.893431)
"801",560,"4224 West","31st St","11/15/2006",20500,"East Bound: 9900 / West Bound: 10600","(41.836814, -87.730379)",c(-87.730379, 41.836814)
"802",1263,"8121 South","Jeffery Ave","09/06/2006",19500,"North Bound: 9500 / South Bound: 10000","(41.747333, -87.575907)",c(-87.575907, 41.747333)
"803",1056,"320 South","Ashland Ave","08/31/2006",35700,"North Bound: 19100 / South Bound: 16600","(41.876934, -87.666676)",c(-87.666676, 41.876934)
"804",1295,"3020 East","87th St","10/18/2006",6600,"East Bound: 3200 / West Bound: 3400","(41.73739, -87.550512)",c(-87.550512, 41.73739)
"805",152,"1354 West","99th Street","03/21/2006",12800,"East Bound: 4400 / West Bound: 8400","(41.714033, -87.657301)",c(-87.657301, 41.714033)
"806",433,"2439 West","43rd St","08/17/2006",4200,"West Bound: 4200/ Oneway West Bound","(41.81567, -87.686204)",c(-87.686204, 41.81567)
"807",1031,"250 North","Kostner Ave","09/05/2006",5700,"South Bound: 5700/ Oneway South Bound","(41.884822, -87.735612)",c(-87.735612, 41.884822)
"808",1310,"3111 West","111th St","09/06/2006",19800,"East Bound: 9800 / West Bound: 10000","(41.691591, -87.698873)",c(-87.698873, 41.691591)
"809",829,"3447 West","Foster Ave","08/15/2006",27500,"East Bound: 13400 / West Bound: 14100","(41.97567, -87.715464)",c(-87.715464, 41.97567)
"810",891,"7455 West","Higgins Ave","08/22/2006",14100,"East Bound: 8000 / West Bound: 6100","(41.982088, -87.813919)",c(-87.813919, 41.982088)
"811",682,"5217 North","Elston Ave","08/10/2006",18200,"North Bound: 9400 / South Bound: 8800","(41.975635, -87.752372)",c(-87.752372, 41.975635)
"812",1124,"5446 South","Michigan Ave","10/11/2006",10800,"South Bound: 10800/ Oneway South Bound","(41.795074, -87.622477)",c(-87.622477, 41.795074)
"813",746,"176 North","Wells St","09/19/2006",10600,"South Bound: 10600/ Oneway South Bound","(41.885249, -87.633916)",c(-87.633916, 41.885249)
"814",1345,"480 South","Franklin St","10/02/2006",9700,"North Bound: 9700 / / Oneway North Bound","(41.875561, -87.635138)",c(-87.635138, 41.875561)
"815",1150,"3050 South","State St","10/18/2006",23100,"North Bound: 11600 / South Bound: 11500","(41.838301, -87.626773)",c(-87.626773, 41.838301)
"816",307,"7230 South","Morgan St","03/09/2006",3600,"North Bound: 1600 / South Bound: 2000","(41.762368, -87.649192)",c(-87.649192, 41.762368)
"817",936,"3056 West","Irving Park Rd","10/16/2006",47300,"East Bound: 23400 / West Bound: 23900","(41.953936, -87.70545)",c(-87.70545, 41.953936)
"818",842,"2458 West","Addison St","08/14/2006",27000,"East Bound: 12100 / West Bound: 14900","(41.946727, -87.69064)",c(-87.69064, 41.946727)
"819",492,"7114 West","Devon Ave","08/15/2006",22600,"East Bound: 11200 / West Bound: 11400","(41.997773, -87.805489)",c(-87.805489, 41.997773)
"820",951,"3723 North","Pulaski Rd","10/05/2006",22700,"North Bound: 11100 / South Bound: 11600","(41.94889, -87.727471)",c(-87.727471, 41.94889)
"821",1092,"315 West","Garfield Blvd","10/19/2006",36700,"East Bound: 19500 / West Bound: 17200","(41.794149, -87.633657)",c(-87.633657, 41.794149)
"822",1272,"6017 South","Stony Island Ave","10/25/2006",19200,"North Bound: 9800 / South Bound: 9400","(41.785625, -87.586582)",c(-87.586582, 41.785625)
"823",247,"943 West","31st St","03/30/2006",10000,"East Bound: 4800 / West Bound: 5200","(41.837991, -87.650405)",c(-87.650405, 41.837991)
"824",653,"3620 North","Laramie Ave","10/23/2006",16700,"North Bound: 8600 / South Bound: 8100","(41.946687, -87.75694)",c(-87.75694, 41.946687)
"825",428,"2900 West","26th St","10/16/2006",13700,"East Bound: 2600 / West Bound: 11100","(41.844657, -87.697733)",c(-87.697733, 41.844657)
"826",1059,"3049 West","Augusta Blvd","10/18/2006",8500,"East Bound: 4000 / West Bound: 4500","(41.899222, -87.703584)",c(-87.703584, 41.899222)
"827",335,"1973 West","Harrison St","04/26/2006",7900,"East Bound: 3500 / West Bound: 4400","(41.874043, -87.676455)",c(-87.676455, 41.874043)
"828",157,"10129 South","Avenue L","03/21/2006",4200,"North Bound: 2100 / South Bound: 2100","(41.711118, -87.536485)",c(-87.536485, 41.711118)
"829",1202,"3751 South","California Ave","08/17/2006",25300,"North Bound: 11800 / South Bound: 13500","(41.824905, -87.694671)",c(-87.694671, 41.824905)
"830",606,"4611 South","Kedzie Ave","08/10/2006",29200,"North Bound: 14600 / South Bound: 14600","(41.809606, -87.704033)",c(-87.704033, 41.809606)
